Campagne;Annonceur;Responsable commercial;Nature;Etat planning;Prête à diffuser;Accord cadre;ODI envoyé;ODI reçu;Début;Fin;Volume total prévu;Volume clic prévu;Brut prévu;Net prévu;Taux de remise prévu;Frais techniques prévus;CPM net prévu;Volume total diffusé;Volume clic diffusé;Net diffusé;Mandataire de réservation
CANAL + RUN RSE - 72348;CANAL+ REUNION;FB;IN;Confirmée;Non;Non;Non;Non;01/10/2021;31/12/2021;166135;0;5847,95;4000,00;32,00;0,00;24,08;166135;0;4000,00;LUVI MEDIA (HAVAS REUNION)
CANAL C+ RUN PIRATAGE - 70677;CANAL+ REUNION;FB;IN;Confirmée;Oui;Non;Non;Non;17/09/2021;30/09/2021;200000;0;5059,94;3461,00;32,00;0,00;17,31;200000;0;3461,00;LUVI MEDIA (HAVAS REUNION)
CANAL C+ RUN PIRATAGE VAGUE 2 - 73150;CANAL+ REUNION;FB;IN;Confirmée;Oui;Non;Non;Non;01/11/2021;21/11/2021;202250;0;5116,96;3500,00;32,00;0,00;17,31;202250;0;3500,00;LUVI MEDIA (HAVAS REUNION)
CANAL CBOX - 70063;CANAL+ REUNION;FB;CL;Confirmée;Oui;Non;Non;Non;02/07/2021;30/09/2021;178124;0;2671,87;1827,56;32,00;0,00;10,26;178124;0;1827,56;LUVI MEDIA (HAVAS REUNION)
CANAL CBOX BTS JUILLET/AOUT - 69776;CANAL+ REUNION;FB;IN;Confirmée;Oui;Non;Non;Non;15/07/2021;08/08/2021;199362;0;4385,96;3000,00;32,00;0,00;15,05;199362;0;3000,00;LUVI MEDIA (HAVAS REUNION)
CANAL CBOX FIL ROUGE  - 72221;CANAL+ REUNION;FB;CL;Confirmée;Non;Non;Non;Non;11/10/2021;31/12/2021;178125;0;2671,86;1827,56;32,00;0,00;10,26;178125;0;1827,56;LUVI MEDIA (HAVAS REUNION)
CANAL CBOX PROMO SEPTEMBRE - 70830;CANAL+ REUNION;FB;IN;Confirmée;Oui;Non;Non;Non;10/09/2021;25/09/2021;179245;0;4385,96;3000,00;32,00;0,00;16,74;179245;0;3000,00;LUVI MEDIA (HAVAS REUNION)
CANAL CBOX UNO - 72712;CANAL+ REUNION;FB;IN;Confirmée;Oui;Non;Non;Non;15/10/2021;30/10/2021;166135;0;3654,97;2500,00;32,00;0,00;15,05;166135;0;2500,00;LUVI MEDIA (HAVAS REUNION)
CANAL CBOX VAGUE 2 AMBASSADEURS - 70770;CANAL+ REUNION;FB;IN;Confirmée;Oui;Non;Non;Non;22/10/2021;04/11/2021;193555;0;4385,96;3000,00;32,00;0,00;15,50;193555;0;3000,00;LUVI MEDIA (HAVAS REUNION)
CANAL GRAND RAID - 72062;CANAL+ REUNION;FB;IN;Confirmée;Oui;Non;Non;Non;15/10/2021;24/10/2021;141575;0;3581,86;2450,00;32,00;0,00;17,31;141575;0;2450,00;LUVI MEDIA (HAVAS REUNION)
CANAL MISS REUNION - 70542;CANAL+ REUNION;FB;MISS;Confirmée;Non;Non;Non;Non;31/07/2021;29/08/2021;170000;0;2550,00;2000,00;22,00;0,00;7,06;170000;0;2000,00;CANAL+ REUNION
CANAL MISS REUNION - 70543;CANAL+ REUNION;FB;MISS;Confirmée;Non;Non;Non;Non;31/07/2021;31/07/2021;0;0;2000,00;2000,00;0,00;0,00;0,00;0;0;2000,00;CANAL+ REUNION
CANAL MY CANAL - 72063;CANAL+ REUNION;FB;IN;Confirmée;Oui;Non;Non;Non;11/10/2021;31/10/2021;119616;0;2631,56;1800,00;32,00;0,00;15,05;119616;0;1800,00;LUVI MEDIA (HAVAS REUNION)
CANAL PARR METEO - 67968;CANAL+ REUNION;FB;EXTWB;Confirmée;Non;Non;Non;Non;01/06/2021;31/07/2021;0;0;1000,00;1000,00;0,00;0,00;0,00;0;0;1000,00;LUVI MEDIA (HAVAS REUNION)
CANAL PARR METEO - 71038;CANAL+ REUNION;FB;EXTWB;Confirmée;Non;Non;Non;Non;01/09/2021;30/09/2021;0;0;500,00;500,00;0,00;0,00;0,00;0;0;500,00;LUVI MEDIA (HAVAS REUNION)
