campagne;campagne_(filtres);nom;format;etat;PAD;date_de_debut_prevue;date_de_fin_prevue;annonceur;Responsable commercial;volume_total_prevu;Groupe d'insertions
ATLAS - 61951;ATLAS - 61951;INSTREAM VIDEO 15S LINFO/AR;INSTREAM;Confirmee;Non;04/09/2020;16/09/2020;YOUFA;VIRAMOUTOU David;39319;
ATLAS - 61951;ATLAS - 61951;INSTREAM VIDEO 15S M6;INSTREAM;Confirmee;Non;04/09/2020;16/09/2020;YOUFA;VIRAMOUTOU David;11721;
ATLAS - 61951;ATLAS - 61951;INSTREAM VIDEO 15S TF1;INSTREAM;Confirmee;Non;04/09/2020;16/09/2020;YOUFA;VIRAMOUTOU David;9232;
ATLAS - 63848;ATLAS - 63848;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;07/11/2020;28/11/2020;YOUFA;AUFFRET Jerome;0;
ATLAS - 63848;ATLAS - 63848;PUSH;-;Confirmee;Non;07/11/2020;07/11/2020;YOUFA;AUFFRET Jerome;0;
ATLAS - RENTREE - 61026;ATLAS - RENTREE - 61026;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;01/08/2020;31/08/2020;YOUFA;AUFFRET Jerome;3333;
ATLAS SOLDES - 61901;ATLAS SOLDES - 61901;OUVERTURES CATALOGUE - OUVERTURE CATALOGUE;-;Confirmee;Non;05/09/2020;02/10/2020;YOUFA;AUFFRET Jerome;0;
BEROCCA ENERGIE - 60680;BEROCCA ENERGIE - 60680;INSTREAM 12S AR/LINFO/TF1/M6/DAILYMOTION;INSTREAM;Confirmee;Non;29/09/2020;29/11/2020;BAYER HEALTH CARE;TF1 TF1;38277;
BEROCCA ENERGIE - 60680;BEROCCA ENERGIE - 60680;INSTREAM 20S AR/LINFO/TF1/M6/DAILYMOTION;INSTREAM;Confirmee;Non;29/09/2020;29/11/2020;BAYER HEALTH CARE;TF1 TF1;49927;
BERROCA BOOST - 56949;BERROCA BOOST - 56949;INSTREAM VIDEO  13S TF1;INSTREAM;Confirmee;Non;18/05/2020;05/07/2020;BAYER HEALTH CARE;TF1 TF1;18216;INSTREAM VIDEO 13S LINFO/AR/TF1/M6/DAILYMOTION
BERROCA BOOST - 56949;BERROCA BOOST - 56949;INSTREAM VIDEO 13S M6;INSTREAM;Confirmee;Non;18/05/2020;05/07/2020;BAYER HEALTH CARE;TF1 TF1;32749;INSTREAM VIDEO 13S LINFO/AR/TF1/M6/DAILYMOTION
BERROCA BOOST - 56949;BERROCA BOOST - 56949;INSTREAM VIDEO 13S AR/LINFO;INSTREAM;Confirmee;Non;18/05/2020;05/07/2020;BAYER HEALTH CARE;TF1 TF1;95873;INSTREAM VIDEO 13S LINFO/AR/TF1/M6/DAILYMOTION
BERROCA BOOST - 56949;BERROCA BOOST - 56949;INSTREAM VIDEO 13S DAILYMOTION;INSTREAM;Confirmee;Non;18/05/2020;05/07/2020;BAYER HEALTH CARE;TF1 TF1;29106;INSTREAM VIDEO 13S LINFO/AR/TF1/M6/DAILYMOTION
BFC OI - 63419;BFC OI - 63419;2020 - RG INTERSTITIEL APPLI - 2020 - INTERSTITIEL APPLI;INTERSTITIEL;Confirmee;Non;12/11/2020;20/11/2020;BANQUE FRANCAISE COMMERCIALE O.I;LACOUTURE Juliette;64000;20-RESEAU ASB-INTERSTITIEL RG
BFC OI - 63419;BFC OI - 63419;2020 - RG INTERSTITIEL - 2020 - INTERSTITIEL;INTERSTITIEL;Confirmee;Non;12/11/2020;20/11/2020;BANQUE FRANCAISE COMMERCIALE O.I;LACOUTURE Juliette;136000;20-RESEAU ASB-INTERSTITIEL RG
BMW SÉRIE 1 - 63900;BMW SÉRIE 1 - 63900;2020 - RG INTERSTITIEL - 2020 - INTERSTITIEL;INTERSTITIEL;Reservee;Non;12/12/2020;22/12/2020;LEAL REUNION;LACOUTURE Juliette;136000;2020 - RESEAU ASB INTERSTITIEL RG
BMW SÉRIE 1 - 63900;BMW SÉRIE 1 - 63900;2020 - RG INTERSTITIEL APPLI - 2020 - INTERSTITIEL APPLI;INTERSTITIEL;Reservee;Non;12/12/2020;22/12/2020;LEAL REUNION;LACOUTURE Juliette;64000;2020 - RESEAU ASB INTERSTITIEL RG
BMW SERIE 4 - 63594;BMW SERIE 4 - 63594;2020 - RG GRAND ANGLE APPLI - 2020 - GRAND ANGLE APPLI;GRAND ANGLE;Confirmee;Non;19/11/2020;28/11/2020;LEAL REUNION;LACOUTURE Juliette;156000;20-RESEAU ASB-GRAND ANGLE RG
BMW SERIE 4 - 63594;BMW SERIE 4 - 63594;2020 - RG INTERSTITIEL APPLI - 2020 - INTERSTITIEL APPLI;INTERSTITIEL;Confirmee;Non;19/11/2020;28/11/2020;LEAL REUNION;LACOUTURE Juliette;32000;20-RESEAU ASB-INTERSTITIEL RG
BMW SERIE 4 - 63594;BMW SERIE 4 - 63594;2020 - RG GRAND ANGLE - 2020 - GRAND ANGLE;GRAND ANGLE;Confirmee;Non;19/11/2020;28/11/2020;LEAL REUNION;LACOUTURE Juliette;144000;20-RESEAU ASB-GRAND ANGLE RG
BMW SERIE 4 - 63594;BMW SERIE 4 - 63594;2020 - RG INTERSTITIEL - 2020 - INTERSTITIEL;INTERSTITIEL;Confirmee;Non;19/11/2020;28/11/2020;LEAL REUNION;LACOUTURE Juliette;68000;20-RESEAU ASB-INTERSTITIEL RG
BNPI - 60222;BNPI - 60222;1 post facebook AR/LINFO;-;Confirmee;Non;20/09/2020;20/09/2020;BNP PARIBAS REUNION;LACOUTURE Juliette;0;
BNPI - 61730;BNPI - 61730;grand angle sur app linfo/ar;GRAND ANGLE;Confirmee;Non;14/09/2020;23/09/2020;BNP PARIBAS REUNION;LACOUTURE Juliette;90000;20-RESEAU ASB-GRAND ANGLE RG (h/Orange run)
BNPI - 61730;BNPI - 61730;dtj - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;14/09/2020;23/09/2020;BNP PARIBAS REUNION;LACOUTURE Juliette;12000;20-RESEAU ASB-GRAND ANGLE RG (h/Orange run)
BNPI - 61730;BNPI - 61730;ar - RG RESEAU ARP - HABILLAGE - Habillage - Taille variable selon le site;HABILLAGE;Confirmee;Non;14/09/2020;23/09/2020;BNP PARIBAS REUNION;LACOUTURE Juliette;336000;20-RESEAU ASB-HABILLAGE RG (h/ORANGE RUN)
BNPI - 61730;BNPI - 61730;ar - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;14/09/2020;23/09/2020;BNP PARIBAS REUNION;LACOUTURE Juliette;198000;20-RESEAU ASB-GRAND ANGLE RG (h/Orange run)
BNPI - 61730;BNPI - 61730;dtj - RG RESEAU ARP - HABILLAGE - Habillage - Taille variable selon le site;HABILLAGE;Confirmee;Non;14/09/2020;23/09/2020;BNP PARIBAS REUNION;LACOUTURE Juliette;14000;20-RESEAU ASB-HABILLAGE RG (h/ORANGE RUN)
BNPI - 62413;BNPI - 62413;1 POST FACEBOOK AR/LINFO;-;Confirmee;Non;12/10/2020;12/10/2020;BNP PARIBAS REUNION;LACOUTURE Juliette;0;
BOEUF PAYS - SICA REVIA - 61373;BOEUF PAYS - SICA REVIA - 61373;PREROLL 30S m6;INSTREAM;Confirmee;Non;14/09/2020;23/09/2020;SICA REVIA (RAVINE DES CABRIS);BONJOUR Cyrille;34618;
BOEUF PAYS - SICA REVIA - 61373;BOEUF PAYS - SICA REVIA - 61373;PREROLL 30S TF1;INSTREAM;Confirmee;Non;14/09/2020;23/09/2020;SICA REVIA (RAVINE DES CABRIS);BONJOUR Cyrille;23050;
